,Unnamed: 0,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL,沿線,駅,徒歩
218,218,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,4階,23.0,0.0,46.0,23.0,1LDK,55.02,https://suumo.jp/chintai/jnc_000083031247/,ＪＲ山手線,目黒駅,9
219,219,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,16階,49.8,0.0,99.6,49.8,4LDK,118.0,https://suumo.jp/chintai/jnc_000086292822/,ＪＲ山手線,目黒駅,9
222,222,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,16階,51.7,0.0,103.4,51.7,4LDK,118.0,https://suumo.jp/chintai/jnc_000083991802/,ＪＲ山手線,目黒駅,9
223,223,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,2階,19.4,0.0,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086086908/,東急目黒線,不動前駅,10
224,224,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,2階,19.4,0.8,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086185817/,東急目黒線,不動前駅,10
225,225,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,2階,20.4,0.0,40.8,20.4,1LDK,46.31,https://suumo.jp/chintai/jnc_000084608082/,東急目黒線,不動前駅,10
226,226,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,3階,21.4,0.0,42.8,21.4,1LDK,49.56,https://suumo.jp/chintai/jnc_000084129788/,東急目黒線,不動前駅,10
227,227,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,2階,21.7,0.0,43.4,21.7,1LDK,52.25,https://suumo.jp/chintai/jnc_000084285411/,東急目黒線,不動前駅,10
228,228,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,4階,21.8,0.0,43.6,21.8,1LDK,55.02,https://suumo.jp/chintai/jnc_000086292823/,東急目黒線,不動前駅,10
229,229,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,4階,21.9,0.0,43.8,21.9,1LDK,52.25,https://suumo.jp/chintai/jnc_000084608083/,東急目黒線,不動前駅,10
230,230,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,10階,22.2,0.0,44.4,22.2,1LDK,50.35,https://suumo.jp/chintai/jnc_000085347346/,東急目黒線,不動前駅,10
231,231,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,13階,22.5,0.0,45.0,22.5,1LDK,50.35,https://suumo.jp/chintai/jnc_000086613957/,東急目黒線,不動前駅,10
232,232,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,4階,23.0,0.0,46.0,23.0,1LDK,55.02,https://suumo.jp/chintai/jnc_000083031247/,東急目黒線,不動前駅,10
233,233,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,16階,49.8,0.0,99.6,49.8,4LDK,118.0,https://suumo.jp/chintai/jnc_000086292822/,東急目黒線,不動前駅,10
236,236,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,16階,51.7,0.0,103.4,51.7,4LDK,118.0,https://suumo.jp/chintai/jnc_000083991802/,東急目黒線,不動前駅,10
237,237,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,2階,19.4,0.0,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086086908/,東急目黒線,武蔵小山駅,21
238,238,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,2階,19.4,0.8,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086185817/,東急目黒線,武蔵小山駅,21
239,239,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,2階,20.4,0.0,40.8,20.4,1LDK,46.31,https://suumo.jp/chintai/jnc_000084608082/,東急目黒線,武蔵小山駅,21
240,240,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,3階,21.4,0.0,42.8,21.4,1LDK,49.56,https://suumo.jp/chintai/jnc_000084129788/,東急目黒線,武蔵小山駅,21
241,241,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,2階,21.7,0.0,43.4,21.7,1LDK,52.25,https://suumo.jp/chintai/jnc_000084285411/,東急目黒線,武蔵小山駅,21
242,242,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,4階,21.8,0.0,43.6,21.8,1LDK,55.02,https://suumo.jp/chintai/jnc_000086292823/,東急目黒線,武蔵小山駅,21
243,243,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,4階,21.9,0.0,43.8,21.9,1LDK,52.25,https://suumo.jp/chintai/jnc_000084608083/,東急目黒線,武蔵小山駅,21
244,244,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,10階,22.2,0.0,44.4,22.2,1LDK,50.35,https://suumo.jp/chintai/jnc_000085347346/,東急目黒線,武蔵小山駅,21
245,245,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,13階,22.5,0.0,45.0,22.5,1LDK,50.35,https://suumo.jp/chintai/jnc_000086613957/,東急目黒線,武蔵小山駅,21
246,246,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,4階,23.0,0.0,46.0,23.0,1LDK,55.02,https://suumo.jp/chintai/jnc_000083031247/,東急目黒線,武蔵小山駅,21
247,247,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,16階,49.8,0.0,99.6,49.8,4LDK,118.0,https://suumo.jp/chintai/jnc_000086292822/,東急目黒線,武蔵小山駅,21
250,250,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,16階,51.7,0.0,103.4,51.7,4LDK,118.0,https://suumo.jp/chintai/jnc_000083991802/,東急目黒線,武蔵小山駅,21
